dataset,method,eer (%),auc,f1,precision,recall,acc,eer_threshold
ASVspoof2019,mean_fusion,1.43,0.999,0.935,0.888,0.986,0.986,0.572
ASVspoof2019,max_fusion,1.73,0.998,0.922,0.867,0.983,0.983,0.999
ASVspoof2019,median_fusion,1.82,0.999,0.918,0.861,0.982,0.982,0.650
ASVspoof2019,style_alone,1.27,0.999,0.941,0.899,0.987,0.987,0.703
ASVspoof2019,linguistic_alone,4.23,0.992,0.824,0.723,0.958,0.958,0.416
ASVspoof2019,hubert_alone,3.07,0.996,0.867,0.784,0.969,0.969,0.615
ASVspoof2019,wavelm_alone,4.24,0.992,0.824,0.722,0.958,0.958,0.675
ASVspoof2019,emotion2vec_alone,7.86,0.974,0.708,0.574,0.921,0.921,0.569
ITW,mean_fusion,19.40,0.873,0.839,0.875,0.806,0.806,0.016
ITW,max_fusion,21.27,0.860,0.823,0.862,0.787,0.787,0.054
ITW,median_fusion,20.40,0.860,0.831,0.868,0.796,0.796,0.004
ITW,style_alone,26.55,0.810,0.777,0.824,0.735,0.735,0.000
ITW,linguistic_alone,24.82,0.814,0.792,0.836,0.752,0.752,0.000
ITW,hubert_alone,21.17,0.854,0.824,0.863,0.788,0.788,0.009
ITW,wavelm_alone,27.33,0.788,0.770,0.818,0.727,0.727,0.013
ITW,emotion2vec_alone,23.37,0.840,0.805,0.847,0.766,0.766,0.025
